Domain,Domain Rating,Source Type,Number of Responses,Pages,Platforms
"""parkeranimalcare.com""",2,"""Third party""",1,1,"""ChatGPT"""
"""pawprotect.com""",26,"""Third party""",1,1,"""Google AI Overviews"""
"""pd.com.au""",56,"""Third party""",1,1,"""Google AI Overviews"""
"""pennycallingpenny.com""",25,"""Third party""",1,1,"""ChatGPT"""
"""perfectpetinsurance.co.uk""",27,"""Third party""",1,1,"""Perplexity"""
"""petassure.com""",65,"""Third party""",1,1,"""ChatGPT"""
"""petcloud.com.au""",44,"""Third party""",1,1,"""Google AI Mode"""
"""petinsuranceassist.com""",0,"""Third party""",1,1,"""ChatGPT"""
"""petlifeexpert.com""",0,"""Third party""",1,1,"""ChatGPT"""
"""petmedia.com""",27,"""Third party""",1,1,"""ChatGPT"""
"""petnotifications.com""",0,"""Third party""",1,1,"""ChatGPT"""
"""petpremium.com""",39,"""Third party""",1,1,"""ChatGPT"""
"""petsbest.com""",73,"""Competitor""",1,1,"""Google AI Mode"""
"""petsecure.com""",64,"""Third party""",1,1,"""Google AI Mode"""
"""petsonbroadway.net""",13,"""Third party""",1,1,"""ChatGPT"""
"""petsure.com.au""",53,"""Third party""",1,1,"""Perplexity"""
"""pressdemocrat.com""",81,"""Third party""",1,1,"""ChatGPT"""
"""pressportal.co.za""",43,"""Third party""",1,1,"""Perplexity"""
"""productreview.com.au""",80,"""Third party""",1,1,"""Perplexity"""
"""providencevethospital.com""",10,"""Third party""",1,1,"""ChatGPT"""
"""puppytoob.com""",43,"""Third party""",1,1,"""ChatGPT"""
"""revelvet.com""",10,"""Third party""",1,1,"""ChatGPT"""
"""sa.gov""",71,"""Third party""",1,1,"""Google AI Mode"""
"""sandiegomagazine.com""",76,"""Third party""",1,1,"""Google AI Mode"""
"""servicedogcertifications.org""",47,"""Third party""",1,1,"""Google AI Mode"""
"""southparkanimalhospitalsf.com""",2,"""Third party""",1,1,"""Google AI Overviews"""
"""springfinancial.ca""",43,"""Third party""",1,1,"""Perplexity"""
"""state-journal.com""",65,"""Third party""",1,1,"""Google AI Mode"""
"""thecatinsurance.com""",0,"""Third party""",1,1,"""ChatGPT"""
"""thehumancapitalhub.com""",53,"""Third party""",1,1,"""ChatGPT"""
"""theneguide.com""",53,"""Third party""",1,1,"""Google AI Overviews"""
"""thetownvets.com""",1,"""Third party""",1,1,"""Google AI Overviews"""
"""timelycoupons.com""",10,"""Third party""",1,1,"""ChatGPT"""
"""top-pet-insurance.com""",11,"""Third party""",1,1,"""ChatGPT"""
"""tucoemas.org""",20,"""Third party""",1,1,"""ChatGPT"""
"""unitedpetclub.com""",30,"""Third party""",1,1,"""ChatGPT"""
"""usinsuranceagents.com""",61,"""Third party""",1,1,"""ChatGPT"""
"""vettoday.com""",20,"""Third party""",1,3,"""ChatGPT"""
"""vin.com""",80,"""Third party""",1,1,"""ChatGPT"""
"""walmart.com""",91,"""Third party""",1,1,"""Google AI Mode"""
"""wawanesa.com""",71,"""Third party""",1,1,"""Google AI Mode"""
"""wellbehavedcat.com""",0,"""Third party""",1,1,"""Perplexity"""
"""wellhub.com""",71,"""Third party""",1,1,"""ChatGPT"""
"""wordandbrown.com""",43,"""Third party""",1,1,"""ChatGPT"""
"""wordpress.com""",94,"""Third party""",1,1,"""ChatGPT"""
